Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion,Promo_type,Year,Month_Index,Month,Average_Cost_Per_Item
1000987231,2023-05-23 18:07:00,Jacqueline Maynard,"['Pancake Mix', 'Coffee', 'Ice Cream']",3,16.63,Credit Card,Houston,Specialty Store,True,Middle-Aged,Winter,nan,Discount,2023,5,May,5.543333333333333
1000079954,2022-03-10 16:47:00,David White,['Cleaning Spray'],5,7.46,Debit Card,Miami,Supermarket,False,Middle-Aged,Fall,BOGO (Buy One Get One),Promosi Non Discount,2022,3,Mar,1.492
1000567130,2022-07-22 17:02:00,Dr. Thomas Edwards,"['Salmon', 'Garden Hose', 'Deodorant', 'Air Freshener', 'Yogurt']",9,52.27,Cash,Boston,Warehouse Club,True,Teenager,Fall,BOGO (Buy One Get One),Discount,2022,7,Jul,5.807777777777778
1000500891,2022-04-21 15:14:00,Kristin Collins,"['Power Strips', 'Tuna']",5,25.44,Cash,Los Angeles,Convenience Store,False,Homemaker,Spring,nan,Promosi Non Discount,2022,4,Apr,5.088
1000055399,2023-05-03 05:26:00,Robert Finley,"['Cereal', 'Cheese', 'Yogurt', 'Sponges', 'Chicken']",6,86.05,Credit Card,Atlanta,Pharmacy,False,Professional,Fall,BOGO (Buy One Get One),Promosi Non Discount,2023,5,May,14.341666666666667
1000135049,2024-05-10 14:41:00,Mark Campbell,"['Tomatoes', 'Orange', 'Paper Towels', 'Orange']",4,36.63,Cash,Seattle,Warehouse Club,True,Homemaker,Winter,Discount on Selected Items,Discount,2024,5,May,9.1575
1000733378,2023-02-08 01:07:00,Tara White,"['Pancake Mix', 'Cheese']",6,43.94,Debit Card,Chicago,Supermarket,True,Young Adult,Summer,nan,Discount,2023,2,Feb,7.323333333333333
1000732057,2022-10-17 13:38:00,Robin Johnson,"['Butter', 'Peanut Butter', 'Yogurt', 'Olive Oil', 'Broom']",8,6.21,Cash,San Francisco,Supermarket,True,Young Adult,Summer,BOGO (Buy One Get One),Discount,2022,10,Oct,0.77625
1000051333,2020-05-23 02:05:00,Christopher Patterson,"['Pasta', 'Power Strips']",10,93.94,Debit Card,New York,Department Store,False,Homemaker,Summer,BOGO (Buy One Get One),Promosi Non Discount,2020,5,May,9.394
1000731479,2021-10-28 10:24:00,Cameron Webster,['Plant Fertilizer'],1,92.83,Credit Card,San Francisco,Convenience Store,True,Homemaker,Fall,Discount on Selected Items,Discount,2021,10,Oct,92.83
1000399758,2023-05-28 05:10:00,Charles Moss,['Toothbrush'],1,73.37,Debit Card,Atlanta,Convenience Store,False,Professional,Winter,Discount on Selected Items,Promosi Non Discount,2023,5,May,73.37
